zip.code,city,county,store.number,store.name,address,store.latitude,store.longitude
50021,Ankeny,Polk,3656,Target Store T-1767,2135 Se Delaware Ave,41.7097732,-93.5819462
50021,Ankeny,Polk,4083,Fareway Stores,109 Se Oralabor Rd,41.702811,-93.599496
50021,Ankeny,Polk,2503,Hy-Vee Drugstore,849 S Ankeny Blvd,41.722013,-93.60043
50021,Ankeny,Polk,4405,KUM & GO,1025 E 1st St,41.731869,-93.58166
50021,Ankeny,Polk,5144,Sam's Club 6979,4625 Se Delaware Ave,41.6925996666667,-93.5812671666667
50021,Ankeny,Polk,4726,Walgreens,901 N Ankeny Blvd,,
50021,Ankeny,Polk,4397,Quik Trip,802 E 1st St,41.731862,-93.586368
50021,Ankeny,Polk,4727,Walgreens,2702 Se Delaware Ave,41.7027562,-93.5812166
50021,Ankeny,Polk,4665,Casey's General Store,2601 Se Creekview Dr,41.7038372,-93.5714854
50022,Atlantic,,5208,Olsen's BP,110 Locust St,41.409214,-95.015685
50022,Atlantic,Cass,2591,Hy-Vee Wine and Spirits,1602 E 7th St,,
50022,Atlantic,Cass,4313,Fareway Stores,301 Poplar St,41.407927,-95.014379
50022,Atlantic,Cass,3833,Wal-Mart 3394,1905 E 7th St,41.4038548,-94.9863286
50022,Atlantic,Cass,4114,After 5 Somewhere,704 W 7th St Po Box 372,41.4040675,-95.023528
50022,Atlantic,Cass,5081,Casey's General Store,701 Poplar St,41.403737,-95.014425
50022,Atlantic,Cass,5082,Casey's General Store,911 Sw 7th St,41.4013302,-95.028429
50023,Ankeny,Polk,4165,I-35 Spirits,113 Se Delaware Ave Ste 101,41.7315213333333,-93.581092
50023,Ankeny,Polk,2666,Hy-Vee,2510 Sw State St,41.7046561666667,-93.6217081666667
50023,Ankeny,Polk,2964,Dahl's,1802 N Ankeny Blvd,41.747345,-93.600365
50023,Ankeny,Polk,4084,Fareway Stores,3205 N Ankeny Blvd,,
50023,Ankeny,Polk,2848,CVS Pharmacy,104 E First St,,
50023,Ankeny,Polk,4406,KUM & GO,1910 Sw White Birch Circle,41.701905,-93.626571
50023,Ankeny,Polk,4725,Casey's General Store,2905 W 1st St,,
50023,Ankeny,Polk,4609,Kum & Go,165 Sw Magazine Rd,41.7172845,-93.60174
50023,Ankeny,Polk,4767,Casey's General Store,6981 Ne 14th St,,
50023,Ankeny,Polk,5099,Casey's General Store,3505 N Ankeny Blvd,,
50023,Ankeny,Polk,2666,Hy-Vee Food Store,2510 Sw State St,41.7046561666667,-93.6217081666667
50023,Ankeny,Polk,4406,Kum & Go,1910 Sw White Birch Circle,41.701905,-93.626571
50025,Audubon,Audubon,3631,Audubon Food Pride,104 Market St Po Box 206,41.723198,-94.936352
50025,Audubon,Audubon,5173,Audubon Food Land,104 Market St,41.72309225,-94.9362755
50025,Audubon,Audubon,5232,Casey's General Store,400 Market St,41.720076,-94.934089
50028,Baxter,Jasper,4322,Hometown Foods,103 N Main St,33.52629,-91.436068
50028,Baxter,Jasper,5179,Baxter Family Market,103 N Main St,,
50033,Bevington,Madison,4667,Kum & Go,101 E Ia Hwy 92,41.360431,-93.790419
50033,Bevington,Warren,5358,Kum & Go,101 E Ia Hwy 92,41.360431,-93.790419
50035,Bondurant,Polk,4757,EZ Mart,1111 Se Lincoln St,41.6926115,-93.45717
50035,Bondurant,Polk,5392,Casey's General Store,1455 Grant St S,41.688505,-93.463194
50035,Bondurant,Polk,5432,"Brick Street Market, LLC",114 Brick St,41.689315,-93.462351
50036,Boone,Boone,2505,Hy-Vee Wine and Spirits,1111 8th St,42.0655295,-93.8790018333333
50036,Boone,Boone,4107,Fareway Stores,1711 Hawkeye Dr,42.037347,-93.867439
50036,Boone,Boone,4701,Walgreens,310 Story St,42.059115,-93.879992
50036,Boone,Boone,4408,KUM & GO,315 Story St,42.058784,-93.879991
50036,Boone,Boone,4409,Kum & Go,1704 S Story St,42.037102,-93.879597
50036,Boone,Boone,4023,Wal-Mart 1389,1515 Se Marshall St,42.0350965714286,-93.8704155714286
50036,Boone,Boone,4664,Casey's General Store,1127 Story,42.061792,-93.88001825
50036,Boone,Boone,4831,L & M Gas & Grocery,320 W Mamie Eisenhower Ave,42.05934025,-93.89687225
50036,Boone,Boone,4930,Casey's General Store,1303 Se Marshall St,42.035103,-93.8715116
50036,Boone,Boone,5471,World Liquor & Tobacco + Vapors,1030 8th St,42.063831,-93.876918
50044,Bussey,Marion,4789,Katy Did's General Store,419 Merrill St,41.204759,-92.886643
50044,Bussey,Marion,3569,Katy Did General Store,419 Merrill St,41.204759,-92.886643
50046,Cambridge,Polk,4940,Cambridge Country Store,301 Water St,41.89951375,-93.5292415
50046,Cambridge,Story,4101,Lucky Stop Inc.,301 Water St Po Box 166,41.89948,-93.529231
50047,Carlisle,Warren,5050,Fareway Stores,1115 Bluestem Dr,41.4979296666667,-93.4995328333333
50047,Carlisle,Warren,5109,Casey's General Store,1020 Gateway Dr,,
50048,Casey,Guthrie,4416,KUM & GO,501 Antuque Country Dr,,
50048,Casey,Guthrie,4416,KUM & GO,501 Mcpherson St,,
50049,Chariton,Lucas,2551,Hy-Vee Food Store,2001 W Court,,
50049,Chariton,Lucas,4720,Chariton BP,107 E Grace,41.00525775,-93.29334525
50049,Chariton,Lucas,5218,Gasland Express,2130 Court Ave,41.014576,-93.327017
